True_Class,Predicted_Class,Count,Correct_Count
32,25,30,6
32,13,13,6
32,12,9,6
32,11,2,6
42,10,23,0
42,11,19,0
42,3,15,0
42,25,9,0
42,41,6,0
6,25,50,6
6,3,32,6
6,11,28,6
6,5,16,6
6,10,11,6
4,1,196,139
4,3,150,139
4,25,38,139
4,10,34,139
4,2,27,139
8,1,98,91
8,5,75,91
8,3,64,91
8,7,37,91
8,25,29,91
41,10,17,26
41,9,13,26
41,17,1,26
41,3,1,26
41,13,1,26
19,3,16,25
19,20,6,25
19,11,5,25
19,13,5,25
19,25,2,25
21,11,35,29
21,25,15,29
21,19,6,29
21,18,2,29
21,35,1,29
16,10,15,86
16,25,15,86
16,9,14,86
16,1,13,86
16,5,7,86
3,1,177,197
3,5,29,197
3,25,22,197
3,2,12,197
3,0,3,197
